round,team_a,team_b,winner,model_prob_a,model_prob_b,market_prob_a,market_prob_b,edge_a,edge_b,ev_a,ev_b,bet_team,bet_stake,bet_odds,bet_result,profit,cumulative_pnl,bankroll,data_quality,skipped,skip_reason
First Round,Alabama,Hofstra,Alabama,0.8615,0.1385,0.8371,0.1629,0.0244,-0.0244,-1.09,-18.28,,0.0,,,0.0,113.66,1113.66,real,False,
First Round,Utah State,Villanova,Utah State,0.5877,0.4123,0.4486,0.5514,0.1391,-0.1391,25.77,-28.23,Utah State,62.93,114.0,win,71.74,185.4,1185.4,real,False,
First Round,Iowa,Clemson,Iowa,0.609,0.391,0.5635,0.4365,0.0455,-0.0455,3.79,-13.98,Iowa,15.94,-142.0,win,11.23,196.63,1196.63,real,False,
First Round,Miami,Missouri,Miami,0.6688,0.3312,0.583,0.417,0.0858,-0.0858,10.03,-23.82,Miami,46.5,-155.0,win,30.0,226.63,1226.63,real,False,
First Round,Purdue,Queens University,Purdue,0.9666,0.0334,0.9578,0.0422,0.0088,-0.0088,-2.13,-23.18,,0.0,,,0.0,226.63,1226.63,real,False,
First Round,St. John's,Northern Iowa,St. John's,0.8213,0.1787,0.7768,0.2232,0.0445,-0.0445,1.45,-23.16,St. John's,18.96,-425.0,win,4.46,231.09,1231.09,real,False,
First Round,Kansas,California Baptist,Kansas,0.8781,0.1219,0.8773,0.1227,0.0008,-0.0008,-4.21,-4.92,,0.0,,,0.0,231.09,1231.09,real,False,
First Round,UCLA,UCF,UCLA,0.6794,0.3206,0.705,0.295,-0.0256,0.0256,-7.62,4.2,UCF,5.74,225.0,loss,-5.74,225.35,1225.35,real,False,
First Round,UConn,Furman,UConn,0.9614,0.0386,0.9578,0.0422,0.0036,-0.0036,-2.66,-11.22,,0.0,,,0.0,225.35,1225.35,real,False,
First Round,Florida,Prairie View A&M,Florida,0.9931,0.0069,0.976,0.024,0.0171,-0.0171,-0.03,-71.71,,0.0,,,0.0,225.35,1225.35,real,False,
First Round,Tennessee,Miami (OH),Tennessee,0.8682,0.1318,0.8295,0.1705,0.0387,-0.0387,-0.07,-26.19,,0.0,,,0.0,225.35,1225.35,real,False,
Second Round,St. John's,Kansas,St. John's,0.5588,0.4412,0.5996,0.4004,-0.0408,0.0408,-10.46,5.89,Kansas,12.88,140.0,loss,-12.88,212.47,1212.47,real,False,
Second Round,Tennessee,Virginia,Tennessee,0.5386,0.4614,0.5174,0.4826,0.0212,-0.0212,-0.5,-8.62,,0.0,,,0.0,212.47,1212.47,real,False,
Second Round,Texas Tech,Alabama,Alabama,0.4737,0.5263,0.5174,0.4826,-0.0437,0.0437,-12.49,4.23,Alabama,13.07,-102.0,win,12.81,225.28,1225.28,real,False,
Second Round,Iowa State,Kentucky,Iowa State,0.7543,0.2457,0.669,0.331,0.0853,-0.0853,8.23,-28.75,Iowa State,57.95,-230.0,win,25.2,250.48,1250.48,real,False,
Second Round,Arkansas,High Point,Arkansas,0.7981,0.2019,0.84,0.16,-0.0419,0.0419,-8.79,21.14,High Point,13.22,500.0,loss,-13.22,237.26,1237.26,real,False,
Second Round,Illinois,VCU,Illinois,0.8603,0.1397,0.8119,0.1881,0.0484,-0.0484,1.67,-28.75,Illinois,28.44,-550.0,win,5.17,242.43,1242.43,real,False,
Second Round,Michigan,Saint Louis,Michigan,0.8816,0.1184,0.8663,0.1337,0.0153,-0.0153,-2.04,-14.75,,0.0,,,0.0,242.43,1242.43,real,False,
Second Round,Michigan State,Louisville,Michigan State,0.5699,0.4301,0.6636,0.3364,-0.0937,0.0937,-17.68,22.58,Louisville,37.91,185.0,loss,-37.91,204.52,1204.52,real,False,
Second Round,Duke,TCU,Duke,0.9151,0.0849,0.8377,0.1623,0.0774,-0.0774,4.58,-49.91,Duke,96.6,-700.0,win,13.8,218.32,1218.32,real,False,
Second Round,Houston,Texas A&M,Houston,0.8593,0.1407,0.8,0.2,0.0593,-0.0593,3.12,-32.46,Houston,47.45,-500.0,win,9.49,227.81,1227.81,real,False,
Second Round,Texas,Gonzaga,Texas,0.2024,0.7976,0.3146,0.6854,-0.1122,0.1122,-38.27,11.66,Gonzaga,89.51,-250.0,loss,-89.51,138.3,1138.3,real,False,
Second Round,Nebraska,Vanderbilt,Nebraska,0.562,0.438,0.4026,0.5974,0.1594,-0.1594,34.88,-29.16,Nebraska,70.9,140.0,win,99.26,237.56,1237.56,real,False,
Second Round,UCLA,UConn,UConn,0.2774,0.7226,0.3631,0.6369,-0.0857,0.0857,-26.77,8.75,UConn,53.63,-198.0,win,27.09,264.64,1264.64,real,False,
Second Round,Miami,Purdue,Purdue,0.2668,0.7332,0.24,0.76,0.0268,-0.0268,6.72,-7.39,Miami,7.08,300.0,loss,-7.08,257.56,1257.56,real,False,
Second Round,Iowa,Florida,Iowa,0.2528,0.7472,0.1777,0.8223,0.0751,-0.0751,36.51,-12.83,Iowa,26.09,440.0,win,114.8,372.36,1372.36,real,False,
Second Round,Utah State,Arizona,Arizona,0.1708,0.8292,0.1475,0.8525,0.0233,-0.0233,11.02,-6.71,Utah State,6.87,550.0,loss,-6.87,365.49,1365.49,real,False,
Sweet 16,Michigan,Alabama,Michigan,0.8237,0.1763,0.7939,0.2061,0.0298,-0.0298,0.47,-17.14,Michigan,7.35,-455.0,win,1.62,367.1,1367.1,real,False,
Sweet 16,Duke,St. John's,Duke,0.7868,0.2132,0.7851,0.2149,0.0017,-0.0017,14.12,13.0,Duke,107.15,-222.0,win,48.27,415.37,1415.37,real,False,
Sweet 16,UConn,Michigan State,UConn,0.5141,0.4859,0.5486,0.4514,-0.0345,0.0345,-9.04,4.47,Michigan State,13.75,115.0,loss,-13.75,401.62,1401.62,real,False,
Sweet 16,Iowa State,Tennessee,Tennessee,0.644,0.356,0.6122,0.3878,0.0318,-0.0318,3.2,-9.93,Iowa State,18.59,-166.0,loss,-18.59,383.03,1383.03,real,False,
Sweet 16,Arizona,Arkansas,Arizona,0.794,0.206,0.7508,0.2492,0.0432,-0.0432,1.46,-20.69,Arizona,18.12,-360.0,win,5.03,388.06,1388.06,real,False,
Sweet 16,Purdue,Texas,Purdue,0.7719,0.2281,0.7508,0.2492,0.0211,-0.0211,-1.37,-12.18,,0.0,,,0.0,388.06,1388.06,real,False,
Sweet 16,Illinois,Houston,Illinois,0.4823,0.5177,0.4066,0.5934,0.0757,-0.0757,13.82,-16.27,Illinois,35.27,136.0,win,47.97,436.03,1436.03,real,False,
Sweet 16,Iowa,Nebraska,Iowa,0.3912,0.6088,0.444,0.556,-0.0528,0.0528,-15.5,5.0,Nebraska,24.75,-138.0,loss,-24.75,411.28,1411.28,real,False,
Elite Eight,Illinois,Iowa,Illinois,0.7387,0.2613,0.7289,0.2711,0.0098,-0.0098,-1.09,-5.93,,0.0,,,0.0,411.28,1411.28,real,False,
Elite Eight,Arizona,Purdue,Arizona,0.6852,0.3148,0.6989,0.3011,-0.0137,0.0137,-4.07,2.31,Purdue,3.62,225.0,loss,-3.62,407.66,1407.66,real,False,
Elite Eight,Michigan,Tennessee,Michigan,0.8026,0.1974,0.8505,0.1495,-0.0479,0.0479,-9.71,26.34,Tennessee,17.16,540.0,loss,-17.16,390.5,1390.5,real,False,
Elite Eight,UConn,Duke,UConn,0.2601,0.7399,0.3237,0.6763,-0.0636,0.0636,-23.01,4.82,Duke,40.21,-240.0,loss,-40.21,350.29,1350.29,real,False,
Final Four,Michigan,Arizona,Michigan,0.5877,0.4123,0.5261,0.4739,0.0616,-0.0616,6.94,-16.72,Michigan,28.59,-122.0,win,23.43,373.73,1373.73,real,False,
Final Four,Illinois,UConn,UConn,0.6073,0.3927,0.5427,0.4573,0.0646,-0.0646,7.45,-17.53,Illinois,33.24,-130.0,loss,-33.24,340.49,1340.49,real,False,
Championship,Michigan,UConn,Michigan,0.763,0.237,0.6211,0.3789,0.1419,-0.1419,18.69,-39.57,Michigan,112.73,-180.0,win,62.63,403.11,1403.11,real,False,
