round,team_a,team_b,winner,model_prob_a,model_prob_b,market_prob_a,market_prob_b,edge_a,edge_b,ev_a,ev_b,bet_team,bet_stake,bet_odds,bet_result,profit,cumulative_pnl,bankroll,data_quality,skipped,skip_reason
Second Round,Michigan,Saint Louis,Michigan,0.8816,0.1184,0.8465,0.1535,0.0351,-0.0351,-0.09,-26.0,,0.0,,,0.0,287.11,1287.11,approximated,False,
Second Round,Texas Tech,Alabama,Alabama,0.4737,0.5263,0.5174,0.4826,-0.0437,0.0437,-12.49,4.23,Alabama,13.88,-102.0,win,13.61,300.71,1300.71,real,False,
Second Round,Iowa State,Kentucky,Iowa State,0.7543,0.2457,0.669,0.331,0.0853,-0.0853,8.23,-28.75,Iowa State,61.52,-230.0,win,26.75,327.46,1327.46,real,False,
Second Round,St. John's,Kansas,St. John's,0.5588,0.4412,0.5996,0.4004,-0.0408,0.0408,-10.46,5.89,Kansas,13.96,140.0,loss,-13.96,313.5,1313.5,real,False,
Second Round,Tennessee,Virginia,Tennessee,0.5386,0.4614,0.5174,0.4826,0.0212,-0.0212,-0.5,-8.62,,0.0,,,0.0,313.5,1313.5,real,False,
Second Round,Iowa,Florida,Iowa,0.2528,0.7472,0.1777,0.8223,0.0751,-0.0751,36.51,-12.83,Iowa,27.25,440.0,win,119.9,433.4,1433.4,real,False,
Second Round,Utah State,Arizona,Arizona,0.1708,0.8292,0.1475,0.8525,0.0233,-0.0233,11.02,-6.71,Utah State,7.18,550.0,loss,-7.18,426.22,1426.22,real,False,
Second Round,UCLA,UConn,UConn,0.2774,0.7226,0.3631,0.6369,-0.0857,0.0857,-26.77,8.75,UConn,61.81,-198.0,win,31.22,457.44,1457.44,real,False,
Second Round,Purdue,Miami,Purdue,0.7332,0.2668,0.7764,0.2236,-0.0432,0.0432,-9.22,14.72,Miami,16.26,330.0,loss,-16.26,441.18,1441.18,approximated,False,
Sweet 16,Duke,St. John's,Duke,0.7868,0.2132,0.7851,0.2149,0.0017,-0.0017,14.12,13.0,Duke,112.95,-222.0,win,50.88,492.06,1492.06,real,False,
Sweet 16,Michigan,Alabama,Michigan,0.8237,0.1763,0.7939,0.2061,0.0298,-0.0298,0.47,-17.14,Michigan,8.03,-455.0,win,1.76,493.82,1493.82,real,False,
Sweet 16,UConn,Michigan State,UConn,0.5141,0.4859,0.5486,0.4514,-0.0345,0.0345,-9.04,4.47,Michigan State,14.51,115.0,loss,-14.51,479.31,1479.31,real,False,
Sweet 16,Arizona,Purdue,Arizona,0.6852,0.3148,0.6989,0.3011,-0.0137,0.0137,-4.07,2.31,Purdue,3.8,225.0,loss,-3.8,475.51,1475.51,real,False,
Sweet 16,Iowa State,Tennessee,Iowa State,0.644,0.356,0.6122,0.3878,0.0318,-0.0318,3.2,-9.93,Iowa State,19.57,-166.0,win,11.79,487.3,1487.3,real,False,
Sweet 16,Illinois,Houston,Illinois,0.4823,0.5177,0.7183,0.2817,-0.236,0.236,-35.69,76.02,Houston,117.77,240.0,loss,-117.77,369.53,1369.53,real,False,
Sweet 16,Iowa,Nebraska,Iowa,0.3912,0.6088,0.2895,0.7105,0.1017,-0.1017,29.1,-18.13,Iowa,43.31,230.0,win,99.61,469.14,1469.14,approximated,False,
Sweet 16,Gonzaga,Arkansas,Gonzaga,0.6735,0.3265,0.76,0.24,-0.0865,0.0865,-14.93,30.6,Arkansas,37.46,300.0,loss,-37.46,431.68,1431.68,approximated,False,
Elite Eight,Michigan,UConn,Michigan,0.763,0.237,0.8173,0.1827,-0.0543,0.0543,-13.03,20.87,UConn,18.22,410.0,loss,-18.22,413.46,1413.46,real,False,
Elite Eight,Iowa State,Illinois,Iowa State,0.4809,0.5191,0.6126,0.3874,-0.1317,0.1317,-25.49,27.18,Illinois,66.24,145.0,loss,-66.24,347.22,1347.22,real,False,
Elite Eight,Arizona,Gonzaga,Arizona,0.6514,0.3486,0.6967,0.3033,-0.0453,0.0453,-12.08,8.07,Gonzaga,12.94,210.0,loss,-12.94,334.28,1334.28,real,False,
Elite Eight,Iowa,Duke,Duke,0.1613,0.8387,0.1589,0.8411,0.0024,-0.0024,-3.22,-4.95,,0.0,,,0.0,334.28,1334.28,real,False,
Final Four,Michigan,Arizona,Michigan,0.5877,0.4123,0.5798,0.4202,0.0079,-0.0079,-2.05,-5.17,,0.0,,,0.0,334.28,1334.28,approximated,False,
Final Four,Illinois,UConn,UConn,0.6073,0.3927,0.3908,0.6092,0.2165,-0.2165,48.79,-38.29,Illinois,112.24,145.0,loss,-112.24,222.04,1222.04,approximated,False,
Championship,Michigan,UConn,Michigan,0.763,0.237,0.6211,0.3789,0.1419,-0.1419,18.69,-39.57,Michigan,102.77,-180.0,win,57.09,279.14,1279.14,real,False,
