team,barthag,adj_o,adj_d,adj_t
Central Arkansas,0.5203,108.8,108.0,
Valparaiso,0.5154,107.7,107.1,
Pennsylvania,0.5154,107.6,107.0,
Towson,0.5158,104.5,103.9,
Kent State,0.51,110.7,110.3,
Fordham,0.5053,103.9,103.7,
Oakland,0.5048,115.3,115.1,
Austin Peay,0.5,108.0,108.0,
Loyola Marymount,0.5,105.9,105.9,
UT Arlington,0.4892,101.5,101.9,
UC Davis,0.4924,107.7,108.0,
Charleston,0.4873,108.3,108.8,
Monmouth,0.4871,106.0,106.5,
Northern Kentucky,0.4875,110.0,110.5,
Siena,0.4848,108.2,108.8,
New Mexico State,0.48,109.6,110.4,
Texas A&M-Corpus Christi,0.4788,103.5,104.3,
Oregon State,0.4799,109.1,109.9,
Charlotte,0.4782,112.9,113.8,
Mercer,0.4706,111.6,112.8,
Furman,0.4696,107.8,109.0,
Cal State Northridge,0.4674,108.7,110.0,
Indiana State,0.4643,106.9,108.3,
Marshall,0.4634,111.8,113.3,
Cal State Fullerton,0.4623,108.6,110.1,
Drake,0.463,110.6,112.1,
Marist,0.4565,100.2,101.8,
Massachusetts,0.4576,109.2,110.9,
Merrimack,0.4539,106.2,108.0,
Montana,0.4543,107.0,108.8,
Columbia,0.4549,108.6,110.4,
Eastern Washington,0.454,112.4,114.3,
Tennessee State,0.4527,109.1,111.0,
Weber State,0.4512,111.4,113.4,
Missouri State,0.4479,109.4,111.5,
Florida International,0.447,107.5,109.6,
Campbell,0.4437,110.8,113.1,
Buffalo,0.4422,112.5,114.9,
App State,0.4384,105.4,107.8,
Howard,0.4383,105.2,107.6,
Utah Tech,0.4387,110.3,112.8,
Queens University,0.4416,116.0,118.5,
UMBC,0.4401,108.4,110.8,
South Dakota State,0.4328,108.4,111.1,
South Alabama,0.4341,106.5,109.1,
Lipscomb,0.434,106.4,109.0,
New Orleans,0.4186,108.9,112.2,
Tulane,0.4079,107.4,111.1,
Youngstown State,0.4017,105.7,109.6,
